timestamp,session_id,request_id,event_or_stage,event_name,agent,route,original_query,normalized_query,rewritten_query,method,source,retrieved,vector_dim,vector_preview,best_score,avg_score,spread,confidence,prompt_chars,prompt_tokens_est,prompt_preview,model,latency_ms,parser_passed,final_output_preview,preview
2025-11-03T12:36:49,20251103_123633_c12464,REQ_169f26f7,event,user_query_received,code,,write a spec code to rotate the sample 5 times,,,llm-rag,,,,,,,,,,,,,,,,
2025-11-03T12:36:49,20251103_123633_c12464,REQ_169f26f7,event,query_rewrite,code,code,write a spec code to rotate the sample 5 times,write a spec code to rotate the sample 5 times,write a spec code to rotate the sample 5 times,,,,,,,,,,,,,,,,,
2025-11-03T12:37:03,20251103_123633_c12464,REQ_169f26f7,stage,vectorstore_init,code,,,,,,load_drive_docs,"chunks=1537, chunk_chars=1000, overlap=200, emb_model=sentence-transformers/all-mpnet-base-v2",768,,,,,,,,,,,,,
2025-11-03T12:37:03,20251103_123633_c12464,REQ_169f26f7,stage,embedding_query,code,,,,,,,,768,"[0.00013, -0.07061, -0.02958, 0.00324, -0.05222, -0.02345, 0.04335, -0.00041, -0.05077, -0.00773]",,,,,,,,,,,,
2025-11-03T12:37:03,20251103_123633_c12464,REQ_169f26f7,stage,retrieval,code,,,,,,,"[{'source': 'SPEC_RAG_Cookbook.pdf', 'score': 0.7264026045799256, 'snippet': ""Rotation in equal steps with orientation update: def rotate_sample '     setor0 0     calcG     for (i = 1; i <= 10; i++) {         inc or0 36         calcG     } ' WRONG (observed): using internal variables and pseudo constructs: def bad_rotate '   ""}, {'source': 'SPEC_RAG_Cookbook.pdf', 'score': 0.8071140050888062, 'sn",,,0.7264026045799256,0.8708230748772621,0.20828479528427124,0.5345,,,,,,,,
2025-11-03T12:37:03,20251103_123633_c12464,REQ_169f26f7,stage,prompt,code,,,,,,,"['SPEC_RAG_Cookbook.pdf', 'SPEC_RAG_Cookbook.pdf', 'SPEC_RAG_Cookbook.pdf', 'SPEC_RAG_Cookbook.pdf', 'spec Manual cambria.pdf', 'rot_macros_2020.mac', 'HDRMscans.mac', 'spec Manual cambria.pdf']",,,,,,,8741,2185," You are an expert in the SPEC beamline control language.  Context below is extracted from SPEC cookbooks, manuals, and local beamline macros. Use it to produce the correct SPEC command or macro that ",,,,,
2025-11-03T12:37:05,20251103_123633_c12464,REQ_169f26f7,stage,llm_call,code,,,,,,,,,,,,,,8741,,,codellama:7b-instruct,1697.15,,,
2025-11-03T12:37:05,20251103_123633_c12464,REQ_169f26f7,stage,parser_check,code,,,,,,,,,,,,,,,,,,,False,,
2025-11-03T12:37:05,20251103_123633_c12464,REQ_169f26f7,stage,final,code,,,,,,,,,,,,,0.5345,,,,,1697.15,False,def rotate_sample '     setor0 0     calcG     for (i = 1; i <= 5; i++) {         inc or0 36         calcG     } ',
2025-11-03T12:37:05,20251103_123633_c12464,REQ_169f26f7,event,ui_return,code,,write a spec code to rotate the sample 5 times,,write a spec code to rotate the sample 5 times,,,,,,,,,0.5345,8741,,,,,False,,def rotate_sample '     setor0 0     calcG     for (i = 1; i <= 5; i++) {         inc or0 36         calcG     } '
2025-11-03T12:37:14,20251103_123633_c12464,REQ_55bd2fa9,event,user_query_received,code,,spec code to spin the crystal 3 times,,,llm-rag,,,,,,,,,,,,,,,,
2025-11-03T12:37:14,20251103_123633_c12464,REQ_55bd2fa9,event,query_rewrite,code,code,spec code to spin the crystal 3 times,spec code to spin the crystal 3 times,spec code to spin the crystal 3 times,,,,,,,,,,,,,,,,,
2025-11-03T12:37:14,20251103_123633_c12464,REQ_55bd2fa9,stage,embedding_query,code,,,,,,,,768,"[0.03654, -0.07647, -0.02003, 0.06231, -0.05826, 0.002, -0.00721, 0.00782, -0.10232, 0.02024]",,,,,,,,,,,,
2025-11-03T12:37:14,20251103_123633_c12464,REQ_55bd2fa9,stage,retrieval,code,,,,,,,"[{'source': 'spec Manual cambria.pdf', 'score': 0.893669718503952, 'snippet': 'The cz , sz and mz macros make use of the Z[] array variables to pass the zone vec- tors to  the geometry code.  19. FOURC> prdef cz  def cz \'  if ($# != 6) {  eprint ""Usage: cz h0 k0 l0 h1 k1 l1"" exit  }  Z[0]=$1; Z[1]=$2; Z[2]=$3; Z[3]=$4; Z[4]=$5;'}, {'source': 'spec Manual cambria.pdf', 'score': 0.9167368769645691,",,,0.893669718503952,0.9801720969378949,0.14276517033576963,0.505,,,,,,,,
2025-11-03T12:37:14,20251103_123633_c12464,REQ_55bd2fa9,stage,prompt,code,,,,,,,"['spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'picopulse.mac', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf']",,,,,,,9189,2297," You are an expert in the SPEC beamline control language.  Context below is extracted from SPEC cookbooks, manuals, and local beamline macros. Use it to produce the correct SPEC command or macro that ",,,,,
2025-11-03T12:37:15,20251103_123633_c12464,REQ_55bd2fa9,stage,llm_call,code,,,,,,,,,,,,,,9189,,,codellama:7b-instruct,803.24,,,
2025-11-03T12:37:15,20251103_123633_c12464,REQ_55bd2fa9,stage,parser_check,code,,,,,,,,,,,,,,,,,,,False,,
2025-11-03T12:37:15,20251103_123633_c12464,REQ_55bd2fa9,stage,final,code,,,,,,,,,,,,,0.505,,,,,803.24,False,"Here is the runnable SPEC code to spin the crystal 3 times: ``` for (i = 0; i < 3; i++) {     cz(h0, k0, l0, h1, k1, l1); } ```",
2025-11-03T12:37:15,20251103_123633_c12464,REQ_55bd2fa9,event,ui_return,code,,spec code to spin the crystal 3 times,,spec code to spin the crystal 3 times,,,,,,,,,0.505,9189,,,,,False,,"Here is the runnable SPEC code to spin the crystal 3 times: ``` for (i = 0; i < 3; i++) {     cz(h0, k0, l0, h1, k1, l1); } ```"
2025-11-03T12:37:31,20251103_123633_c12464,REQ_38509884,event,user_query_received,code,,code to change 360 degrees to radians?,,,llm-rag,,,,,,,,,,,,,,,,
2025-11-03T12:37:31,20251103_123633_c12464,REQ_38509884,event,query_rewrite,code,code,code to change 360 degrees to radians?,code to change 360 degrees to radians?,code to change 360 degrees to radians?,,,,,,,,,,,,,,,,,
2025-11-03T12:37:31,20251103_123633_c12464,REQ_38509884,stage,embedding_query,code,,,,,,,,768,"[-0.04243, -0.04264, -0.02924, 0.00025, -0.06867, 0.03611, -0.02005, -0.02852, -0.02484, 0.0137]",,,,,,,,,,,,
