timestamp,session_id,request_id,query,stage,route,agent,source,score,vector_dim,vector_preview,retrieved,prompt_chars,prompt_preview,raw_output_preview,final_output_preview
2025-11-03T11:45:18,20251103_114439_fe3c98,REQ_cd81c1ba,vectorstore_init,vectorstore_init,,code,load_drive_docs,,768,,"chunks=1537, chunk_chars=1000, overlap=200, emb_model=sentence-transformers/all-mpnet-base-v2",,,,
2025-11-03T11:45:18,20251103_114439_fe3c98,REQ_cd81c1ba,write a spec code to rotate the motor 5 times,embedding_query,,code,,,768,"[0.01243, -0.04062, -0.00816, 0.01961, -0.02651, -0.01601, 0.02352, 0.00114, -0.08329, -0.02417]",,,,,
2025-11-03T11:45:18,20251103_114439_fe3c98,REQ_cd81c1ba,write a spec code to rotate the motor 5 times,retrieval,,code,,"best=0.675, avg=0.738, spread=0.101, conf=0.5755",,,"[{'source': 'SPEC_RAG_Cookbook.pdf', 'score': 0.6748235106468201, 'snippet': 'def repeat_measurement \'     open file ""repeat.dat"" w     writeline file ""repeat.dat"", result     close file ""repeat.dat"" \' 9. Macro Arguments & Usage Pattern: $# (argc), $1, $2 ... (argv). Guard with usage. def scan_arg \'     if ($# != 4) {         '}, {'source': 'spec Manual cambria.pdf', 'score': 0.6874747931957245, 'snippet': '# Where - all motors def wa  \'  waitmove; get_angles onp  printf(""\\nCurrent Positions (user, dial)\\n"")  {  local i j k  for (i = 0, k = MOTORS; i < k; i += 8) {  _mo_loop 9.9s ""motor_name(mA[j])""  _mo_loop 9.9s ""motor_mne(mA[j])""  _mo_loop 9.4f ""A[mA'}, {'source': 'mdcp.mac', 'score': 0.715880835056305, 'snippet': '= ""unit: ""          motor_info[i] = ""channel""     motor_text[i++] = ""channel: ""      motor_info[i] = ""controller""     motor_text[i++] = ""motor type: ""      motor_info[i] = ""step_size""     motor_text[i++] = ""conversion (steps/mm): ""      motor_info[i]'}, {'source': 'SPEC_RAG_Cookbook.pdf', 'score': 0.749803900718689, 'snippet': 'def repeat_measurement \'     open file ""repeat.dat"" w     writeline file ""repeat.dat"", result     close file ""repeat.dat"" \' 9. Macro Arguments & Usage Pattern: $# (argc), $1, $2 ... (argv). Guard with usage. def scan_arg \'     if ($# != 4) {         '}, {'source': 'spec Manual cambria.pdf', 'score': 0.760906434059143, 'snippet': '# Calculate motor positions for a given H, K, and L def cal \'  if ($# != 3) {  print ""Usage: cal H K L"" exit  } ;  {H = $1; K = $2; L = $3 } calcA; calcHKL onp  printf(""\\nCalculated Positions:\\n"")  _var  offp  \'  # As above but reset positions to dif'}, {'source': 'spec Manual cambria.pdf', 'score': 0.7638608813285828, 'snippet': '# Where - all motors def wa  \'  waitmove; get_angles onp  printf(""\\nCurrent Positions (user, dial)\\n"")  {  local i j k  for (i = 0, k = MOTORS; i < k; i += 8) {  _mo_loop 9.9s ""motor_name(mA[j])""  _mo_loop 9.9s ""motor_mne(mA[j])""  _mo_loop 9.4f ""A[mA'}, {'source': 'spec Manual cambria.pdf', 'score': 0.7719475865364075, 'snippet': 'def user_premove \'  if (fabs(A[tth] - A[th]) > 10) {  print ""Move exceeds Theta - Two Theta relative limit."" exit  }  move_all  \'  The set macro changes the offset between user and dial units.  # Define a new motor position def set \'  if ($# != 2) { '}, {'source': 'rot_macros_2019.mac', 'score': 0.7756149172782898, 'snippet': '* _delta_omega / _exp_time)  _accel_rate_Hz = 1024*64 #MUST BE MULTIPLE OF 1024, 64 input 11/21/13  _accel_time = ( sqrt(_steady_rate*_steady_rate) - _base_rate ) / _accel_rate_Hz  _accel_rate = _accel_rate_Hz / _step_per_deg  _accel_time_ms =  _acce'}]",157,,,
2025-11-03T11:45:18,20251103_114439_fe3c98,REQ_cd81c1ba,write a spec code to rotate the motor 5 times,prompt,,code,,"top_k=8, token_est=2061",,,"['SPEC_RAG_Cookbook.pdf', 'spec Manual cambria.pdf', 'mdcp.mac', 'SPEC_RAG_Cookbook.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'rot_macros_2019.mac']",8244," You are an expert in the SPEC beamline control language.  Context below is extracted from SPEC cookbooks, manuals, and local beamline macros. Use it to produce the correct SPEC command or macro that ",,
2025-11-03T11:45:20,20251103_114439_fe3c98,REQ_cd81c1ba,"
You are an expert in the SPEC beamline control language.

C",llm_call,,code,codellama:7b-instruct,1547.2691059112549,,,,8244,," def rotate_motor '     ascan ""motor"" 5 0 40 90 '",
2025-11-03T11:45:20,20251103_114439_fe3c98,REQ_cd81c1ba,write a spec code to rotate the motor 5 times,parser_check,,code,,False,,,,,,"def rotate_motor '     ascan ""motor"" 5 0 40 90 '",
2025-11-03T11:45:20,20251103_114439_fe3c98,REQ_cd81c1ba,write a spec code to rotate the motor 5 times,final,,code,,"conf=0.5755, latency_ms=1547.3, parser_ok=False",,,,,,,"def rotate_motor '     ascan ""motor"" 5 0 40 90 '"
2025-11-03T11:45:25,20251103_114439_fe3c98,REQ_73a25053,spec code to spin the crystal 3 times,embedding_query,,code,,,768,"[0.03654, -0.07647, -0.02003, 0.06231, -0.05826, 0.002, -0.00721, 0.00782, -0.10232, 0.02024]",,,,,
2025-11-03T11:45:25,20251103_114439_fe3c98,REQ_73a25053,spec code to spin the crystal 3 times,retrieval,,code,,"best=0.894, avg=0.980, spread=0.143, conf=0.505",,,"[{'source': 'spec Manual cambria.pdf', 'score': 0.893669718503952, 'snippet': 'The cz , sz and mz macros make use of the Z[] array variables to pass the zone vec- tors to  the geometry code.  19. FOURC> prdef cz  def cz \'  if ($# != 6) {  eprint ""Usage: cz h0 k0 l0 h1 k1 l1"" exit  }  Z[0]=$1; Z[1]=$2; Z[2]=$3; Z[3]=$4; Z[4]=$5;'}, {'source': 'spec Manual cambria.pdf', 'score': 0.9167368769645691, 'snippet': 'Zone or    and    Fixed (g_mode = 2)  A zone of reciprocal space is a plane passing through the origin.  A zone axis is the di -  rection of the normal to this plane.  The zone axis can be specified by the vector prod - uct of  any two non -colinear '}, {'source': 'spec Manual cambria.pdf', 'score': 0.9327913999557496, 'snippet': 'values (although  they should be close).  You can use the or0 and or1 macros to enter the parameters for the primary and sec - ondary  reflections, respectively.  However, the or0 and or1 macros require that  the diffractometer  be moved to the assoc'}, {'source': 'spec Manual cambria.pdf', 'score': 0.99296635389328, 'snippet': 'The cz , sz and mz macros make use of the Z[] array variables to pass the zone vec- tors to  the geometry code.  19. FOURC> prdef cz  def cz \'  if ($# != 6) {  eprint ""Usage: cz h0 k0 l0 h1 k1 l1"" exit  }  Z[0]=$1; Z[1]=$2; Z[2]=$3; Z[3]=$4; Z[4]=$5;'}, {'source': 'picopulse.mac', 'score': 1.01796612739563, 'snippet': 'LENGTH (sec)?"",0,7)         }          pico_temp = 1e6 * pico_temp * 270 - 2 #user_us * 270MHz - 2 base cycles pio code         pico_tx[tx++] = _pico_build_msg(""regions"",1,1)          pico_tx[tx++] = _pico_build_msg(""length"",pico_temp,1)          pic'}, {'source': 'spec Manual cambria.pdf', 'score': 1.0185965299606323, 'snippet': 'Zone or    and    Fixed (g_mode = 2)  A zone of reciprocal space is a plane passing through the origin.  A zone axis is the di -  rection of the normal to this plane.  The zone axis can be specified by the vector prod - uct of  any two non -colinear '}, {'source': 'spec Manual cambria.pdf', 'score': 1.032214879989624, 'snippet': 'counting to monitor.  The next lines give  information that describe the diffractometer configuration at the  start of the scan. Following #G0 are the current values of the four-circle parameters,  which are defined four-circle macro file, macros/fou'}, {'source': 'spec Manual cambria.pdf', 'score': 1.0364348888397217, 'snippet': 'values (although  they should be close).  You can use the or0 and or1 macros to enter the parameters for the primary and sec - ondary  reflections, respectively.  However, the or0 and or1 macros require that  the diffractometer  be moved to the assoc'}]",154,,,
2025-11-03T11:45:25,20251103_114439_fe3c98,REQ_73a25053,spec code to spin the crystal 3 times,prompt,,code,,"top_k=8, token_est=2297",,,"['spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'picopulse.mac', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf']",9189," You are an expert in the SPEC beamline control language.  Context below is extracted from SPEC cookbooks, manuals, and local beamline macros. Use it to produce the correct SPEC command or macro that ",,
