timestamp,session_id,request_id,query,stage,route,agent,source,score,vector_dim,vector_preview,retrieved,prompt_chars,prompt_preview,raw_output_preview,final_output_preview
2025-11-03T00:19:24,20251103_001905_51dfeb,REQ_ea01b148,vectorstore_init,vectorstore_init,,code,load_drive_docs,,768,,"chunks=1158, chunk_chars=1000, overlap=200, emb_model=sentence-transformers/all-mpnet-base-v2",,,,
2025-11-03T00:19:24,20251103_001905_51dfeb,REQ_ea01b148,SPEC macro example showing usage of hey,embedding_query,,code,,,768,"[0.03591, -0.03845, -0.01777, -0.0463, -0.01303, -0.01115, 0.04177, -0.03966, -0.03598, 0.02498]",,,,,
2025-11-03T00:19:24,20251103_001905_51dfeb,REQ_ea01b148,SPEC macro example showing usage of hey,retrieval,,code,,"best=0.678, avg=0.712, spread=0.063, conf=0.5841",,,"[{'source': 'SPEC manual pymca.pdf', 'score': 0.677907246351242, 'snippet': '12 WRITING AND MODIFYING MACROS 24 12 Writing and Modifying Macros Almost all commands you issue to spec are macros. The spec programming language is very similar to the C–language; so most of the people will feel immediately at home. This section de'}, {'source': 'spec Manual cambria.pdf', 'score': 0.6866829812526702, 'snippet': 'Grammar Rules  This syntax summary defines how all the built-in keywords, operators and commands of   spec can be combined. These grammar rules are similar to those given in stan- dard C- language manuals.  Operators are listed in order of precedence'}, {'source': 'SPEC manual pymca.pdf', 'score': 0.7076358556747436, 'snippet': '13 WHERE TO FIND FURTHER MACROS? 28 13 Where to ﬁnd further macros? /usr/local/lib/spec.d/local/user– where you can put your own macros to provide them to other users /usr/local/lib/spec.d/local/BL– Beamline speciﬁc macros /usr/local/lib/spec.d/local'}, {'source': 'spec Manual cambria.pdf', 'score': 0.7111350178718566, 'snippet': 'Introduction  The material contained in this part of the documentation describes most of the built- in  features of the spec program, that is, those parts of spec that are compiled into the code  and cannot be changed at the installed site.  These fe'}, {'source': 'spec Manual cambria.pdf', 'score': 0.7187889814376831, 'snippet': 'Introduction To the spec User Interface  spec as a Calculator  In some respects, the spec user interface behaves like a BASIC language interpreter that  uses the C language syntax.  For example, you can easily print strings and the results of  arithm'}, {'source': 'spec Manual cambria.pdf', 'score': 0.7206016898155212, 'snippet': 'input sources and handles command recall (or his- tory)  substitution.  The input text is then broken into tokens by the lexical analyzer. Tokens represent the  different kinds of input objects, such as keywords, operators, variables, number constant'}, {'source': 'spec Manual cambria.pdf', 'score': 0.7333072543144226, 'snippet': ""them through groff and the paginator, but only if Python and the Python  docutils package are installed.  The paths and options for the system tools used by spec's help facility are con -  figured in the file SPECD/spec.conf .  whatis(string) — Retur""}, {'source': 'spec Manual cambria.pdf', 'score': 0.7409904241561889, 'snippet': 'of spec.  You may find the existing macros do not accomplish what you want. A simple proce-  dure for modifying a standard macro is to use the macro savmac to copy the definition of the  existing macro into a file.  You then edit the macro definition'}]",159,,,
2025-11-03T00:19:24,20251103_001905_51dfeb,REQ_ea01b148,hey,prompt,,code,,"top_k=8, token_est=1993",,,"['SPEC manual pymca.pdf', 'spec Manual cambria.pdf', 'SPEC manual pymca.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf']",7973, You are an expert in the SPEC beamline control language (Certified Scientific Software).  Context below is extracted from SPEC cookbooks and manuals. Use it to write only valid SPEC macros.  # CONTEX,,
2025-11-03T00:19:26,20251103_001905_51dfeb,REQ_ea01b148,"
You are an expert in the SPEC beamline control language (Ce",llm_call,,code,codellama:7b-instruct,1430.0308227539062,,,,7973,," def hey(name) '     print ""Hey there, "", name, ""!"" '",
2025-11-03T00:19:26,20251103_001905_51dfeb,REQ_ea01b148,hey,parser_check,,code,,False,,,,,,"def hey(name) '     print ""Hey there, "", name, ""!"" '",
2025-11-03T00:19:26,20251103_001905_51dfeb,REQ_ea01b148,hey,final,,code,,"conf=0.5841, latency_ms=1430.0, parser_ok=False",,,,,,,"def hey(name) '     print ""Hey there, "", name, ""!"" '"
2025-11-03T00:20:35,20251103_001905_51dfeb,REQ_00a42468,spec macro code for changing the temperature from 200 K to 230 K,embedding_query,,code,,,768,"[-0.03143, -0.04238, -0.04047, -0.06236, -0.0363, -0.00129, -0.01425, 0.00975, -0.02744, 0.01603]",,,,,
2025-11-03T00:20:35,20251103_001905_51dfeb,REQ_00a42468,spec macro code for changing the temperature from 200 K to 230 K,retrieval,,code,,"best=0.465, avg=0.569, spread=0.195, conf=0.6374",,,"[{'source': 'spec Manual cambria.pdf', 'score': 0.464858603477478, 'snippet': 'temperature  showtemp # Show temperature parameters  teramp # Ramp the temperature    Methods for handling temperature control and other experimental parameters are  likely to  vary greatly from lab to lab and experiment to experiment. You may be abl'}, {'source': 'spec Manual cambria.pdf', 'score': 0.5207639634609222, 'snippet': 'or set the temperature set  point.  # Simple read or set temperature def te \'  if ($# == 1) {  settemp $1  qcomment ""Temperature Setpoint at %g"" ""TEMP_SP""  }  onp; showtemp; offp  \'  If invoked without arguments, it simply displays the current temper'}, {'source': 'spec Manual cambria.pdf', 'score': 0.534274411201477, 'snippet': ""The macro RtoT_0 , used above, is one of several in the standard package that convert between  degrees C and kilohms for common thermistors:  # Temperature to kohms def  TtoR_0 '  local _k # YSI 44011 (100kohm @ 25C) 20 to 120 C  $1 = exp(-11.2942 +5""}, {'source': 'spec Manual cambria.pdf', 'score': 0.5405430793762207, 'snippet': 'TEMP_SP The set point of the controller in ohms, volts, etc.  T_LO_SP The lower limit for the controller set point.  T_HI_SP The upper limit for the controller set point.  DEGC_SP The temperature from which the set point is derived.  TEMP_CS The valu'}, {'source': 'spec Manual cambria.pdf', 'score': 0.5755664110183716, 'snippet': ""to a new  set point. If the ramp time is greater than 500 seconds, the temperature is  changed every  10 seconds, otherwise the temperature is changed every 2 seconds.   # Read or set or ramp the temperature def  teramp '{  if ($# == 1) {  te $1  } e""}, {'source': 'spec Manual cambria.pdf', 'score': 0.6104036569595337, 'snippet': 'by a blank line.  #T seconds If counting to time, the time used.  #U  Reserved for user.  #X setpoint The temperature setpoint.  #@MCA fmt This scan contains MCA data (array_dump() format,    as in ""16C"")  @A data MCA data formatted as above      192'}, {'source': 'spec Manual cambria.pdf', 'score': 0.6449521780014038, 'snippet': '178  Powder Mode.................................................................................................................................... 178  Customizing Scan Output ........................................................................'}, {'source': 'spec Manual cambria.pdf', 'score': 0.6602525115013123, 'snippet': 'of spec.  You may find the existing macros do not accomplish what you want. A simple proce-  dure for modifying a standard macro is to use the macro savmac to copy the definition of the  existing macro into a file.  You then edit the macro definition'}]",158,,,
2025-11-03T00:20:35,20251103_001905_51dfeb,REQ_00a42468,spec macro code for changing the temperature from 200 K to 230 K,prompt,,code,,"top_k=8, token_est=1710",,,"['spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf']",6842, You are an expert in the SPEC beamline control language (Certified Scientific Software).  Context below is extracted from SPEC cookbooks and manuals. Use it to write only valid SPEC macros.  # CONTEX,,
