timestamp,session_id,request_id,query,stage,route,agent,source,score,vector_dim,vector_preview,retrieved,prompt_chars,prompt_preview,raw_output_preview,final_output_preview
2025-11-03T00:49:58,20251103_004802_4e899e,REQ_94e4c26b,vectorstore_init,vectorstore_init,,code,load_drive_docs,,768,,"chunks=1158, chunk_chars=1000, overlap=200, emb_model=sentence-transformers/all-mpnet-base-v2",,,,
2025-11-03T00:49:58,20251103_004802_4e899e,REQ_94e4c26b,write a spec macro code to change the temperature from 200 K to 220 K,embedding_query,,code,,,768,"[-0.0318, -0.05544, -0.04765, -0.05795, -0.03434, -0.01124, -0.02298, 0.0051, -0.00987, 0.01312]",,,,,
2025-11-03T00:49:58,20251103_004802_4e899e,REQ_94e4c26b,write a spec macro code to change the temperature from 200 K to 220 K,retrieval,,code,,"best=0.608, avg=0.686, spread=0.153, conf=0.593",,,"[{'source': 'spec Manual cambria.pdf', 'score': 0.6079626381397247, 'snippet': 'temperature  showtemp # Show temperature parameters  teramp # Ramp the temperature    Methods for handling temperature control and other experimental parameters are  likely to  vary greatly from lab to lab and experiment to experiment. You may be abl'}, {'source': 'spec Manual cambria.pdf', 'score': 0.6380616366863251, 'snippet': 'or set the temperature set  point.  # Simple read or set temperature def te \'  if ($# == 1) {  settemp $1  qcomment ""Temperature Setpoint at %g"" ""TEMP_SP""  }  onp; showtemp; offp  \'  If invoked without arguments, it simply displays the current temper'}, {'source': 'spec Manual cambria.pdf', 'score': 0.6755140423774719, 'snippet': 'temperature  showtemp # Show temperature parameters  teramp # Ramp the temperature    Methods for handling temperature control and other experimental parameters are  likely to  vary greatly from lab to lab and experiment to experiment. You may be abl'}, {'source': 'spec Manual cambria.pdf', 'score': 0.685221791267395, 'snippet': ""The macro RtoT_0 , used above, is one of several in the standard package that convert between  degrees C and kilohms for common thermistors:  # Temperature to kohms def  TtoR_0 '  local _k # YSI 44011 (100kohm @ 25C) 20 to 120 C  $1 = exp(-11.2942 +5""}, {'source': 'spec Manual cambria.pdf', 'score': 0.6975714325904846, 'snippet': 'TEMP_SP The set point of the controller in ohms, volts, etc.  T_LO_SP The lower limit for the controller set point.  T_HI_SP The upper limit for the controller set point.  DEGC_SP The temperature from which the set point is derived.  TEMP_CS The valu'}, {'source': 'spec Manual cambria.pdf', 'score': 0.7089573740959167, 'snippet': 'or set the temperature set  point.  # Simple read or set temperature def te \'  if ($# == 1) {  settemp $1  qcomment ""Temperature Setpoint at %g"" ""TEMP_SP""  }  onp; showtemp; offp  \'  If invoked without arguments, it simply displays the current temper'}, {'source': 'spec Manual cambria.pdf', 'score': 0.715659123659134, 'snippet': ""to a new  set point. If the ramp time is greater than 500 seconds, the temperature is  changed every  10 seconds, otherwise the temperature is changed every 2 seconds.   # Read or set or ramp the temperature def  teramp '{  if ($# == 1) {  te $1  } e""}, {'source': 'spec Manual cambria.pdf', 'score': 0.7613575458526611, 'snippet': ""The macro RtoT_0 , used above, is one of several in the standard package that convert between  degrees C and kilohms for common thermistors:  # Temperature to kohms def  TtoR_0 '  local _k # YSI 44011 (100kohm @ 25C) 20 to 120 C  $1 = exp(-11.2942 +5""}]",158,,,
2025-11-03T00:49:58,20251103_004802_4e899e,REQ_94e4c26b,write a spec macro code to change the temperature from 200 K to 220 K,prompt,,code,,"top_k=8, token_est=1814",,,"['spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf']",7258, You are an expert in the SPEC beamline control language (Certified Scientific Software).  Context below is extracted from SPEC cookbooks and manuals. Use it to return the correct SPEC command that ex,,
2025-11-03T00:50:01,20251103_004802_4e899e,REQ_94e4c26b,"
You are an expert in the SPEC beamline control language (Ce",llm_call,,code,codellama:7b-instruct,2896.8589305877686,,,,7258,, def teramp ' if ($# == 1) { te $1 } else if ($# == 2) { local _i _s1 _f1 _d1 _rtime _stime  _f1 = $1  _rtime = $2  _stime = _rtime < 500? 2:10  _s1 = TEMP_SP  _d1 = (_f1 - _s1) / _rtime * _stime  qco,
2025-11-03T00:50:01,20251103_004802_4e899e,REQ_94e4c26b,write a spec macro code to change the temperature from 200 K to 220 K,parser_check,,code,,False,,,,,,def teramp ' if ($# == 1) { te $1 } else if ($# == 2) { local _i _s1 _f1 _d1 _rtime _stime  _f1 = $1  _rtime = $2  _stime = _rtime < 500? 2:10  _s1 = TEMP_SP  _d1 = (_f1 - _s1) / _rtime * _stime  qcom,
2025-11-03T00:50:01,20251103_004802_4e899e,REQ_94e4c26b,write a spec macro code to change the temperature from 200 K to 220 K,final,,code,,"conf=0.593, latency_ms=2896.9, parser_ok=False",,,,,,,def teramp ' if ($# == 1) { te $1 } else if ($# == 2) { local _i _s1 _f1 _d1 _rtime _stime  _f1 = $1  _rtime = $2  _stime = _rtime < 500? 2:10  _s1 = TEMP_SP  _d1 = (_f1 - _s1) / _rtime * _stime  qcom
2025-11-03T00:51:03,20251103_004802_4e899e,REQ_90b3064a,write a macro code in spec to change the temperature from 200 K to 220 K,embedding_query,,code,,,768,"[-0.02784, -0.05392, -0.05248, -0.05774, -0.03594, -0.00833, -0.01958, 0.00776, -0.01296, 0.01626]",,,,,
2025-11-03T00:51:03,20251103_004802_4e899e,REQ_90b3064a,write a macro code in spec to change the temperature from 200 K to 220 K,retrieval,,code,,"best=0.607, avg=0.684, spread=0.162, conf=0.5938",,,"[{'source': 'spec Manual cambria.pdf', 'score': 0.6065591454505921, 'snippet': 'temperature  showtemp # Show temperature parameters  teramp # Ramp the temperature    Methods for handling temperature control and other experimental parameters are  likely to  vary greatly from lab to lab and experiment to experiment. You may be abl'}, {'source': 'spec Manual cambria.pdf', 'score': 0.6251146674156189, 'snippet': 'or set the temperature set  point.  # Simple read or set temperature def te \'  if ($# == 1) {  settemp $1  qcomment ""Temperature Setpoint at %g"" ""TEMP_SP""  }  onp; showtemp; offp  \'  If invoked without arguments, it simply displays the current temper'}, {'source': 'spec Manual cambria.pdf', 'score': 0.6739546060562134, 'snippet': 'temperature  showtemp # Show temperature parameters  teramp # Ramp the temperature    Methods for handling temperature control and other experimental parameters are  likely to  vary greatly from lab to lab and experiment to experiment. You may be abl'}, {'source': 'spec Manual cambria.pdf', 'score': 0.6914758443832397, 'snippet': ""The macro RtoT_0 , used above, is one of several in the standard package that convert between  degrees C and kilohms for common thermistors:  # Temperature to kohms def  TtoR_0 '  local _k # YSI 44011 (100kohm @ 25C) 20 to 120 C  $1 = exp(-11.2942 +5""}, {'source': 'spec Manual cambria.pdf', 'score': 0.694571852684021, 'snippet': 'or set the temperature set  point.  # Simple read or set temperature def te \'  if ($# == 1) {  settemp $1  qcomment ""Temperature Setpoint at %g"" ""TEMP_SP""  }  onp; showtemp; offp  \'  If invoked without arguments, it simply displays the current temper'}, {'source': 'spec Manual cambria.pdf', 'score': 0.6950575590133667, 'snippet': 'TEMP_SP The set point of the controller in ohms, volts, etc.  T_LO_SP The lower limit for the controller set point.  T_HI_SP The upper limit for the controller set point.  DEGC_SP The temperature from which the set point is derived.  TEMP_CS The valu'}, {'source': 'spec Manual cambria.pdf', 'score': 0.7168600022792816, 'snippet': ""to a new  set point. If the ramp time is greater than 500 seconds, the temperature is  changed every  10 seconds, otherwise the temperature is changed every 2 seconds.   # Read or set or ramp the temperature def  teramp '{  if ($# == 1) {  te $1  } e""}, {'source': 'spec Manual cambria.pdf', 'score': 0.7683064937591553, 'snippet': ""The macro RtoT_0 , used above, is one of several in the standard package that convert between  degrees C and kilohms for common thermistors:  # Temperature to kohms def  TtoR_0 '  local _k # YSI 44011 (100kohm @ 25C) 20 to 120 C  $1 = exp(-11.2942 +5""}]",159,,,
2025-11-03T00:51:03,20251103_004802_4e899e,REQ_90b3064a,write a macro code in spec to change the temperature from 200 K to 220 K,prompt,,code,,"top_k=8, token_est=1815",,,"['spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf', 'spec Manual cambria.pdf']",7261, You are an expert in the SPEC beamline control language (Certified Scientific Software).  Context below is extracted from SPEC cookbooks and manuals. Use it to return the correct SPEC command that ex,,
